correct_given_protocol,cot,depth,instances,invalid_rate,max_new_tokens,mean_generated_tokens,median_generated_tokens,model,protocol_compliance,semantic_accuracy,strict_accuracy,truncation_rate
0.5,True,12,100,0,128,32.97,34.0,qwen2.5-3b,1,0.5,0.5,0
0.46,True,16,100,0,128,32.82,34.0,qwen2.5-3b,1,0.46,0.46,0
1.0,True,2,50,0,128,38.68,34.0,qwen2.5-3b,1,1,1,0
0.53,True,4,100,0,128,35.37,34.0,qwen2.5-3b,1,0.53,0.53,0
1.0,True,6,50,0,128,34,34.0,qwen2.5-3b,1,1,1,0
0.673469387755102,True,7,50,0.02,128,36.84,35.0,qwen2.5-3b,0.98,0.66,0.66,0.02
0.41605839416058393,True,8,700,0.02142857142857143,128,40.05,34.0,qwen2.5-3b,0.9785714285714285,0.40714285714285714,0.40714285714285714,0.022857142857142857
0.5,True,12,100,0,256,32.97,34.0,qwen2.5-3b,1,0.5,0.5,0
0.46,True,16,100,0,256,32.82,34.0,qwen2.5-3b,1,0.46,0.46,0
1.0,True,2,50,0,256,38.68,34.0,qwen2.5-3b,1,1,1,0
0.53,True,4,100,0,256,35.37,34.0,qwen2.5-3b,1,0.53,0.53,0
1.0,True,6,50,0,256,34,34.0,qwen2.5-3b,1,1,1,0
0.66,True,7,50,0,256,38.06,35.0,qwen2.5-3b,1,0.66,0.66,0
0.41810344827586204,True,8,700,0.005714285714285714,256,41.755714285714284,34.0,qwen2.5-3b,0.9942857142857143,0.41714285714285715,0.4157142857142857,0.007142857142857143
0.5,True,12,100,0,512,32.97,34.0,qwen2.5-3b,1,0.5,0.5,0
0.46,True,16,100,0,512,32.82,34.0,qwen2.5-3b,1,0.46,0.46,0
1.0,True,2,50,0,512,38.68,34.0,qwen2.5-3b,1,1,1,0
0.53,True,4,100,0,512,35.37,34.0,qwen2.5-3b,1,0.53,0.53,0
1.0,True,6,50,0,512,34,34.0,qwen2.5-3b,1,1,1,0
0.66,True,7,50,0,512,38.06,35.0,qwen2.5-3b,1,0.66,0.66,0
0.4183381088825215,True,8,700,0.002857142857142857,512,42.668571428571425,34.0,qwen2.5-3b,0.9971428571428571,0.41714285714285715,0.41714285714285715,0.002857142857142857
