correct_given_protocol,cot,family,instances,invalid_rate,max_new_tokens,mean_generated_tokens,median_generated_tokens,model,protocol_compliance,semantic_accuracy,strict_accuracy,truncation_rate
0.9766666666666667,True,basic_chain,300,0,128,34.986666666666665,34.0,qwen2.5-3b,1,0.9766666666666667,0.9766666666666667,0
0.17737789203084833,True,interleaved_chain,400,0.0275,128,43.075,34.0,qwen2.5-3b,0.9725,0.1725,0.1725,0.03
0.92,True,merge_chain,50,0,128,35.82,34.0,qwen2.5-3b,1,0.92,0.92,0
0.215,True,revision,200,0,128,32.875,34.0,qwen2.5-3b,1,0.215,0.215,0
0.673469387755102,True,split_chain,50,0.02,128,36.84,35.0,qwen2.5-3b,0.98,0.66,0.66,0.02
0.10869565217391304,True,swap_chain,50,0.08,128,48.1,36.0,qwen2.5-3b,0.92,0.1,0.1,0.08
0.92,True,undo_chain,50,0,128,33.44,34.0,qwen2.5-3b,1,0.92,0.92,0
0.64,True,undo_redo_chain,50,0,128,32.32,34.0,qwen2.5-3b,1,0.64,0.64,0
0.9766666666666667,True,basic_chain,300,0,256,34.986666666666665,34.0,qwen2.5-3b,1,0.9766666666666667,0.9766666666666667,0
0.18181818181818182,True,interleaved_chain,400,0.01,256,45.395,34.0,qwen2.5-3b,0.99,0.1825,0.18,0.01
0.92,True,merge_chain,50,0,256,35.82,34.0,qwen2.5-3b,1,0.92,0.92,0
0.215,True,revision,200,0,256,32.875,34.0,qwen2.5-3b,1,0.215,0.215,0
0.66,True,split_chain,50,0,256,38.06,35.0,qwen2.5-3b,1,0.66,0.66,0
0.16,True,swap_chain,50,0,256,53.42,36.0,qwen2.5-3b,1,0.16,0.16,0.02
0.92,True,undo_chain,50,0,256,33.44,34.0,qwen2.5-3b,1,0.92,0.92,0
0.64,True,undo_redo_chain,50,0,256,32.32,34.0,qwen2.5-3b,1,0.64,0.64,0
0.9766666666666667,True,basic_chain,300,0,512,34.986666666666665,34.0,qwen2.5-3b,1,0.9766666666666667,0.9766666666666667,0
0.18090452261306533,True,interleaved_chain,400,0.005,512,46.985,34.0,qwen2.5-3b,0.995,0.18,0.18,0.005
0.92,True,merge_chain,50,0,512,35.82,34.0,qwen2.5-3b,1,0.92,0.92,0
0.215,True,revision,200,0,512,32.875,34.0,qwen2.5-3b,1,0.215,0.215,0
0.66,True,split_chain,50,0,512,38.06,35.0,qwen2.5-3b,1,0.66,0.66,0
0.18,True,swap_chain,50,0,512,53.48,36.0,qwen2.5-3b,1,0.18,0.18,0
0.92,True,undo_chain,50,0,512,33.44,34.0,qwen2.5-3b,1,0.92,0.92,0
0.64,True,undo_redo_chain,50,0,512,32.32,34.0,qwen2.5-3b,1,0.64,0.64,0
