correct_given_protocol,cot,depth,instances,invalid_rate,max_new_tokens,mean_generated_tokens,median_generated_tokens,model,protocol_compliance,semantic_accuracy,strict_accuracy,truncation_rate
0.46236559139784944,False,12,100,0.07,128,20.74,22.0,qwen2.5-0.5b,0.93,0.45,0.43,0
0.358695652173913,False,16,100,0.08,128,27.18,22.0,qwen2.5-0.5b,0.92,0.34,0.33,0.04
1.0,False,2,50,0,128,21.92,22.0,qwen2.5-0.5b,1,1,1,0
0.6195652173913043,False,4,100,0.08,128,29.75,22.0,qwen2.5-0.5b,0.92,0.6,0.57,0.06
0.2553191489361702,False,6,50,0.06,128,21.02,22.0,qwen2.5-0.5b,0.94,0.28,0.24,0
0.2857142857142857,False,7,50,0.86,128,98.78,118.0,qwen2.5-0.5b,0.14,0.62,0.04,0.42
0.41875,False,8,700,0.08571428571428572,128,28.56714285714286,22.0,qwen2.5-0.5b,0.9142857142857143,0.42714285714285716,0.38285714285714284,0.027142857142857142
0.46236559139784944,False,12,100,0.07,256,20.74,22.0,qwen2.5-0.5b,0.93,0.45,0.43,0
0.358695652173913,False,16,100,0.08,256,28.35,22.0,qwen2.5-0.5b,0.92,0.35,0.33,0
1.0,False,2,50,0,256,21.92,22.0,qwen2.5-0.5b,1,1,1,0
0.6129032258064516,False,4,100,0.07,256,33.1,22.0,qwen2.5-0.5b,0.93,0.61,0.57,0.01
0.2553191489361702,False,6,50,0.06,256,21.02,22.0,qwen2.5-0.5b,0.94,0.28,0.24,0
0.5,False,7,50,0.76,256,122.24,118.0,qwen2.5-0.5b,0.24,0.62,0.12,0.06
0.41875,False,8,700,0.08571428571428572,256,30.43857142857143,22.0,qwen2.5-0.5b,0.9142857142857143,0.42857142857142855,0.38285714285714284,0.007142857142857143
0.46236559139784944,False,12,100,0.07,512,20.74,22.0,qwen2.5-0.5b,0.93,0.45,0.43,0
0.358695652173913,False,16,100,0.08,512,28.35,22.0,qwen2.5-0.5b,0.92,0.35,0.33,0
1.0,False,2,50,0,512,21.92,22.0,qwen2.5-0.5b,1,1,1,0
0.6129032258064516,False,4,100,0.07,512,33.2,22.0,qwen2.5-0.5b,0.93,0.61,0.57,0
0.2553191489361702,False,6,50,0.06,512,21.02,22.0,qwen2.5-0.5b,0.94,0.28,0.24,0
0.5,False,7,50,0.72,512,126.16,118.0,qwen2.5-0.5b,0.28,0.62,0.14,0
0.41875,False,8,700,0.08571428571428572,512,31.18,22.0,qwen2.5-0.5b,0.9142857142857143,0.42857142857142855,0.38285714285714284,0.0014285714285714286
,True,12,100,1,128,10.48,10.0,qwen2.5-0.5b,0,0.38,0,0
,True,16,100,1,128,10,10.0,qwen2.5-0.5b,0,0.34,0,0
,True,2,50,1,128,10,10.0,qwen2.5-0.5b,0,0.92,0,0
,True,4,100,1,128,10.87,10.0,qwen2.5-0.5b,0,0.47,0,0
,True,6,50,1,128,11.44,10.0,qwen2.5-0.5b,0,0.24,0,0
,True,7,50,1,128,11,11.0,qwen2.5-0.5b,0,0.62,0,0
,True,8,700,1,128,11.96,10.0,qwen2.5-0.5b,0,0.37142857142857144,0,0.002857142857142857
,True,12,100,1,256,10.48,10.0,qwen2.5-0.5b,0,0.38,0,0
,True,16,100,1,256,10,10.0,qwen2.5-0.5b,0,0.34,0,0
,True,2,50,1,256,10,10.0,qwen2.5-0.5b,0,0.92,0,0
,True,4,100,1,256,10.87,10.0,qwen2.5-0.5b,0,0.47,0,0
,True,6,50,1,256,11.44,10.0,qwen2.5-0.5b,0,0.24,0,0
,True,7,50,1,256,11,11.0,qwen2.5-0.5b,0,0.62,0,0
,True,8,700,1,256,12.325714285714286,10.0,qwen2.5-0.5b,0,0.37142857142857144,0,0.002857142857142857
,True,12,100,1,512,10.48,10.0,qwen2.5-0.5b,0,0.38,0,0
,True,16,100,1,512,10,10.0,qwen2.5-0.5b,0,0.34,0,0
,True,2,50,1,512,10,10.0,qwen2.5-0.5b,0,0.92,0,0
,True,4,100,1,512,10.87,10.0,qwen2.5-0.5b,0,0.47,0,0
,True,6,50,1,512,11.44,10.0,qwen2.5-0.5b,0,0.24,0,0
,True,7,50,1,512,11,11.0,qwen2.5-0.5b,0,0.62,0,0
,True,8,700,1,512,13.057142857142857,10.0,qwen2.5-0.5b,0,0.37285714285714283,0,0.002857142857142857
0.8877551020408163,False,12,100,0.02,128,12.88,13.0,qwen2.5-3b,0.98,0.89,0.87,0
0.9523809523809523,False,16,100,0.79,128,10.71,10.0,qwen2.5-3b,0.21,0.9,0.2,0
1.0,False,2,50,0.98,128,10.16,10.0,qwen2.5-3b,0.02,1,0.02,0
1.0,False,4,100,0.57,128,12.95,10.0,qwen2.5-3b,0.43,1,0.43,0
0.9565217391304348,False,6,50,0.54,128,11.5,10.0,qwen2.5-3b,0.46,0.96,0.44,0
1.0,False,7,50,0.88,128,12.16,11.0,qwen2.5-3b,0.12,0.9,0.12,0
0.9156626506024096,False,8,700,0.7628571428571429,128,13.56,10.0,qwen2.5-3b,0.23714285714285716,0.8842857142857142,0.21714285714285714,0
0.8877551020408163,False,12,100,0.02,256,12.88,13.0,qwen2.5-3b,0.98,0.89,0.87,0
0.9523809523809523,False,16,100,0.79,256,10.71,10.0,qwen2.5-3b,0.21,0.9,0.2,0
1.0,False,2,50,0.98,256,10.16,10.0,qwen2.5-3b,0.02,1,0.02,0
1.0,False,4,100,0.57,256,12.95,10.0,qwen2.5-3b,0.43,1,0.43,0
0.9565217391304348,False,6,50,0.54,256,11.5,10.0,qwen2.5-3b,0.46,0.96,0.44,0
