correct_given_protocol,cot,family,instances,invalid_rate,max_new_tokens,mean_generated_tokens,median_generated_tokens,model,protocol_compliance,semantic_accuracy,strict_accuracy,truncation_rate
0.506896551724138,False,basic_chain,300,0.03333333333333333,128,22.74,22.0,qwen2.5-0.5b,0.9666666666666667,0.52,0.49,0.006666666666666667
0.3135593220338983,False,interleaved_chain,400,0.115,128,32.1925,22.0,qwen2.5-0.5b,0.885,0.3275,0.2775,0.0475
0.7555555555555555,False,merge_chain,50,0.1,128,26.56,22.0,qwen2.5-0.5b,0.9,0.76,0.68,0
0.44886363636363635,False,revision,200,0.12,128,27.86,22.0,qwen2.5-0.5b,0.88,0.42,0.395,0.04
0.2857142857142857,False,split_chain,50,0.86,128,98.78,118.0,qwen2.5-0.5b,0.14,0.62,0.04,0.42
0.5714285714285714,False,swap_chain,50,0.02,128,23.76,22.0,qwen2.5-0.5b,0.98,0.58,0.56,0
0.6,False,undo_chain,50,0,128,21.44,22.0,qwen2.5-0.5b,1,0.6,0.6,0
0.68,False,undo_redo_chain,50,0,128,21.04,22.0,qwen2.5-0.5b,1,0.68,0.68,0
0.506896551724138,False,basic_chain,300,0.03333333333333333,256,22.936666666666667,22.0,qwen2.5-0.5b,0.9666666666666667,0.52,0.49,0
0.3135593220338983,False,interleaved_chain,400,0.115,256,35.4675,22.0,qwen2.5-0.5b,0.885,0.33,0.2775,0.0125
0.7555555555555555,False,merge_chain,50,0.1,256,26.56,22.0,qwen2.5-0.5b,0.9,0.76,0.68,0
0.4463276836158192,False,revision,200,0.115,256,29.825,22.0,qwen2.5-0.5b,0.885,0.43,0.395,0.005
0.5,False,split_chain,50,0.76,256,122.24,118.0,qwen2.5-0.5b,0.24,0.62,0.12,0.06
0.5714285714285714,False,swap_chain,50,0.02,256,23.76,22.0,qwen2.5-0.5b,0.98,0.58,0.56,0
0.6,False,undo_chain,50,0,256,21.44,22.0,qwen2.5-0.5b,1,0.6,0.6,0
0.68,False,undo_redo_chain,50,0,256,21.04,22.0,qwen2.5-0.5b,1,0.68,0.68,0
0.506896551724138,False,basic_chain,300,0.03333333333333333,512,22.936666666666667,22.0,qwen2.5-0.5b,0.9666666666666667,0.52,0.49,0
0.3135593220338983,False,interleaved_chain,400,0.115,512,36.765,22.0,qwen2.5-0.5b,0.885,0.33,0.2775,0.0025
0.7555555555555555,False,merge_chain,50,0.1,512,26.56,22.0,qwen2.5-0.5b,0.9,0.76,0.68,0
0.4463276836158192,False,revision,200,0.115,512,29.875,22.0,qwen2.5-0.5b,0.885,0.43,0.395,0
0.5,False,split_chain,50,0.72,512,126.16,118.0,qwen2.5-0.5b,0.28,0.62,0.14,0
0.5714285714285714,False,swap_chain,50,0.02,512,23.76,22.0,qwen2.5-0.5b,0.98,0.58,0.56,0
0.6,False,undo_chain,50,0,512,21.44,22.0,qwen2.5-0.5b,1,0.6,0.6,0
0.68,False,undo_redo_chain,50,0,512,21.04,22.0,qwen2.5-0.5b,1,0.68,0.68,0
,True,basic_chain,300,1,128,10.4,10.0,qwen2.5-0.5b,0,0.45666666666666667,0,0
,True,interleaved_chain,400,1,128,10.65,10.0,qwen2.5-0.5b,0,0.285,0,0.005
,True,merge_chain,50,1,128,11.1,10.0,qwen2.5-0.5b,0,0.74,0,0
,True,revision,200,1,128,10.435,10.0,qwen2.5-0.5b,0,0.41,0,0
,True,split_chain,50,1,128,11,11.0,qwen2.5-0.5b,0,0.62,0,0
,True,swap_chain,50,1,128,31.14,25.5,qwen2.5-0.5b,0,0.12,0,0
,True,undo_chain,50,1,128,10,10.0,qwen2.5-0.5b,0,0.52,0,0
,True,undo_redo_chain,50,1,128,10,10.0,qwen2.5-0.5b,0,0.7,0,0
,True,basic_chain,300,1,256,10.4,10.0,qwen2.5-0.5b,0,0.45666666666666667,0,0
,True,interleaved_chain,400,1,256,11.29,10.0,qwen2.5-0.5b,0,0.285,0,0.005
,True,merge_chain,50,1,256,11.1,10.0,qwen2.5-0.5b,0,0.74,0,0
,True,revision,200,1,256,10.435,10.0,qwen2.5-0.5b,0,0.41,0,0
,True,split_chain,50,1,256,11,11.0,qwen2.5-0.5b,0,0.62,0,0
,True,swap_chain,50,1,256,31.14,25.5,qwen2.5-0.5b,0,0.12,0,0
,True,undo_chain,50,1,256,10,10.0,qwen2.5-0.5b,0,0.52,0,0
,True,undo_redo_chain,50,1,256,10,10.0,qwen2.5-0.5b,0,0.7,0,0
,True,basic_chain,300,1,512,10.4,10.0,qwen2.5-0.5b,0,0.45666666666666667,0,0
,True,interleaved_chain,400,1,512,12.57,10.0,qwen2.5-0.5b,0,0.2875,0,0.005
,True,merge_chain,50,1,512,11.1,10.0,qwen2.5-0.5b,0,0.74,0,0
,True,revision,200,1,512,10.435,10.0,qwen2.5-0.5b,0,0.41,0,0
,True,split_chain,50,1,512,11,11.0,qwen2.5-0.5b,0,0.62,0,0
,True,swap_chain,50,1,512,31.14,25.5,qwen2.5-0.5b,0,0.12,0,0
,True,undo_chain,50,1,512,10,10.0,qwen2.5-0.5b,0,0.52,0,0
,True,undo_redo_chain,50,1,512,10,10.0,qwen2.5-0.5b,0,0.7,0,0
0.9645390070921985,False,basic_chain,300,0.53,128,11.63,10.0,qwen2.5-3b,0.47,0.97,0.4533333333333333,0
1.0,False,interleaved_chain,400,0.9875,128,10.0775,10.0,qwen2.5-3b,0.0125,0.85,0.0125,0
1.0,False,merge_chain,50,0.82,128,10.22,10.0,qwen2.5-3b,0.18,0.92,0.18,0
0.9191919191919192,False,revision,200,0.505,128,12.03,10.0,qwen2.5-3b,0.495,0.925,0.455,0
1.0,False,split_chain,50,0.88,128,12.16,11.0,qwen2.5-3b,0.12,0.9,0.12,0
0.5185185185185185,False,swap_chain,50,0.46,128,51.68,13.5,qwen2.5-3b,0.54,0.74,0.28,0
1.0,False,undo_chain,50,0.4,128,12.1,13.0,qwen2.5-3b,0.6,0.96,0.6,0
0.975609756097561,False,undo_redo_chain,50,0.18,128,12.06,13.0,qwen2.5-3b,0.82,0.98,0.8,0
0.9645390070921985,False,basic_chain,300,0.53,256,11.63,10.0,qwen2.5-3b,0.47,0.97,0.4533333333333333,0
1.0,False,interleaved_chain,400,0.9875,256,10.0775,10.0,qwen2.5-3b,0.0125,0.85,0.0125,0
1.0,False,merge_chain,50,0.82,256,10.22,10.0,qwen2.5-3b,0.18,0.92,0.18,0
0.9191919191919192,False,revision,200,0.505,256,12.03,10.0,qwen2.5-3b,0.495,0.925,0.455,0
1.0,False,split_chain,50,0.88,256,12.16,11.0,qwen2.5-3b,0.12,0.9,0.12,0
0.5185185185185185,False,swap_chain,50,0.46,256,51.68,13.5,qwen2.5-3b,0.54,0.74,0.28,0
1.0,False,undo_chain,50,0.4,256,12.1,13.0,qwen2.5-3b,0.6,0.96,0.6,0
0.975609756097561,False,undo_redo_chain,50,0.18,256,12.06,13.0,qwen2.5-3b,0.82,0.98,0.8,0
0.9645390070921985,False,basic_chain,300,0.53,512,11.63,10.0,qwen2.5-3b,0.47,0.97,0.4533333333333333,0
1.0,False,interleaved_chain,400,0.9875,512,10.0775,10.0,qwen2.5-3b,0.0125,0.85,0.0125,0
1.0,False,merge_chain,50,0.82,512,10.22,10.0,qwen2.5-3b,0.18,0.92,0.18,0
0.9191919191919192,False,revision,200,0.505,512,12.03,10.0,qwen2.5-3b,0.495,0.925,0.455,0
1.0,False,split_chain,50,0.88,512,12.16,11.0,qwen2.5-3b,0.12,0.9,0.12,0
0.5185185185185185,False,swap_chain,50,0.46,512,51.68,13.5,qwen2.5-3b,0.54,0.74,0.28,0
1.0,False,undo_chain,50,0.4,512,12.1,13.0,qwen2.5-3b,0.6,0.96,0.6,0
0.975609756097561,False,undo_redo_chain,50,0.18,512,12.06,13.0,qwen2.5-3b,0.82,0.98,0.8,0
0.7714285714285715,False,basic_chain,300,0.8833333333333333,128,10.28,10.0,qwen2.5-7b,0.11666666666666667,0.8133333333333334,0.09,0
0.978021978021978,False,interleaved_chain,400,0.7725,128,10.4925,10.0,qwen2.5-7b,0.2275,0.895,0.2225,0
,False,merge_chain,50,1,128,10,10.0,qwen2.5-7b,0,0.56,0,0
1.0,False,revision,200,0.875,128,10.375,10.0,qwen2.5-7b,0.125,0.955,0.125,0
,False,split_chain,50,1,128,11,11.0,qwen2.5-7b,0,0.66,0,0
1.0,False,swap_chain,50,0.9,128,10.16,10.0,qwen2.5-7b,0.1,0.92,0.1,0
,False,undo_chain,50,1,128,10,10.0,qwen2.5-7b,0,1,0,0
,False,undo_redo_chain,50,1,128,10,10.0,qwen2.5-7b,0,0.98,0,0
0.7714285714285715,False,basic_chain,300,0.8833333333333333,256,10.28,10.0,qwen2.5-7b,0.11666666666666667,0.8133333333333334,0.09,0
0.978021978021978,False,interleaved_chain,400,0.7725,256,10.4925,10.0,qwen2.5-7b,0.2275,0.895,0.2225,0
,False,merge_chain,50,1,256,10,10.0,qwen2.5-7b,0,0.56,0,0
1.0,False,revision,200,0.875,256,10.375,10.0,qwen2.5-7b,0.125,0.955,0.125,0
,False,split_chain,50,1,256,11,11.0,qwen2.5-7b,0,0.66,0,0
1.0,False,swap_chain,50,0.9,256,10.16,10.0,qwen2.5-7b,0.1,0.92,0.1,0
,False,undo_chain,50,1,256,10,10.0,qwen2.5-7b,0,1,0,0
,False,undo_redo_chain,50,1,256,10,10.0,qwen2.5-7b,0,0.98,0,0
0.7714285714285715,False,basic_chain,300,0.8833333333333333,512,10.28,10.0,qwen2.5-7b,0.11666666666666667,0.8133333333333334,0.09,0
